round_number,date,time,location,home_team,away_team,home_team_score,away_team_score
6,2023-10-17,00:15,SoFi Stadium,LAC,DAL,17,20
7,2023-10-20,00:15,Caesars Superdome,NO,JAX,24,31
7,2023-10-22,17:00,M&T Bank Stadium,BAL,DET,38,6
7,2023-10-22,17:00,Soldier Field,CHI,LV,30,12
7,2023-10-22,17:00,Lucas Oil Stadium,IND,CLE,38,39
7,2023-10-22,17:00,Gillette Stadium,NE,BUF,29,25
7,2023-10-22,17:00,MetLife Stadium,NYG,WAS,14,7
7,2023-10-22,17:00,Raymond James Stadium,TB,ATL,13,16
7,2023-10-22,20:05,SoFi Stadium,LA,PIT,17,24
7,2023-10-22,20:05,Lumen Field,SEA,ARI,20,10
7,2023-10-22,20:25,Empower Field at Mile High,DEN,GB,19,17
7,2023-10-22,20:25,GEHA Field at Arrowhead Stadium,KC,LAC,31,17
7,2023-10-23,00:20,Lincoln Financial Field,PHI,MIA,31,17
7,2023-10-24,00:15,U.S. Bank Stadium,MIN,SF,22,17
8,2023-10-27,00:15,Highmark Stadium,BUF,TB,24,18
8,2023-10-29,17:00,Bank of America Stadium,CAR,HOU,15,13
8,2023-10-29,17:00,AT&T Stadium,DAL,LA,43,20
8,2023-10-29,17:00,Lambeau Field,GB,MIN,10,24
8,2023-10-29,17:00,Lucas Oil Stadium,IND,NO,27,38
8,2023-10-29,17:00,Hard Rock Stadium,MIA,NE,31,17
8,2023-10-29,17:00,MetLife Stadium,NYG,NYJ,10,13
8,2023-10-29,17:00,Acrisure Stadium,PIT,JAX,10,20
8,2023-10-29,17:00,Nissan Stadium,TEN,ATL,28,23
8,2023-10-29,17:00,FedExField,WAS,PHI,31,38
8,2023-10-29,20:05,Lumen Field,SEA,CLE,24,20
8,2023-10-29,20:25,State Farm Stadium,ARI,BAL,24,31
8,2023-10-29,20:25,Empower Field at Mile High,DEN,KC,24,9
8,2023-10-29,20:25,Levi's® Stadium,SF,CIN,17,31
8,2023-10-30,00:20,SoFi Stadium,LAC,CHI,30,13
8,2023-10-31,00:15,Ford Field,DET,LV,26,14
9,2023-11-03,00:15,Acrisure Stadium,PIT,TEN,20,16
9,2023-11-05,14:30,Frankfurt Stadium,KC,MIA,21,14
9,2023-11-05,18:00,Mercedes-Benz Stadium,ATL,MIN,28,31
9,2023-11-05,18:00,M&T Bank Stadium,BAL,SEA,37,3
9,2023-11-05,18:00,Cleveland Browns Stadium,CLE,ARI,27,0
9,2023-11-05,18:00,Lambeau Field,GB,LA,20,3
9,2023-11-05,18:00,NRG Stadium,HOU,TB,39,37
9,2023-11-05,18:00,Gillette Stadium,NE,WAS,17,20
9,2023-11-05,18:00,Caesars Superdome,NO,CHI,24,17
9,2023-11-05,21:05,Bank of America Stadium,CAR,IND,13,27
9,2023-11-05,21:25,Allegiant Stadium,LV,NYG,30,6
9,2023-11-05,21:25,Lincoln Financial Field,PHI,DAL,28,23
9,2023-11-06,01:20,Paycor Stadium,CIN,BUF,24,18
9,2023-11-07,01:15,MetLife Stadium,NYJ,LAC,6,27
10,2023-11-10,01:15,Soldier Field,CHI,CAR,16,13
10,2023-11-12,14:30,Frankfurt Stadium,NE,IND,6,10
10,2023-11-12,18:00,M&T Bank Stadium,BAL,CLE,31,33
10,2023-11-12,18:00,Paycor Stadium,CIN,HOU,27,30
10,2023-11-12,18:00,EverBank Stadium,JAX,SF,3,34
10,2023-11-12,18:00,U.S. Bank Stadium,MIN,NO,27,19
10,2023-11-12,18:00,Acrisure Stadium,PIT,GB,23,19
10,2023-11-12,18:00,Raymond James Stadium,TB,TEN,20,6
10,2023-11-12,21:05,State Farm Stadium,ARI,ATL,25,23
10,2023-11-12,21:05,SoFi Stadium,LAC,DET,38,41
10,2023-11-12,21:25,AT&T Stadium,DAL,NYG,49,17
10,2023-11-12,21:25,Lumen Field,SEA,WAS,29,26
10,2023-11-13,01:20,Allegiant Stadium,LV,NYJ,16,12
10,2023-11-14,01:15,Highmark Stadium,BUF,DEN,22,24
11,2023-11-17,01:15,M&T Bank Stadium,BAL,CIN,34,20
11,2023-11-19,18:00,Bank of America Stadium,CAR,DAL,10,33
11,2023-11-19,18:00,Cleveland Browns Stadium,CLE,PIT,13,10
11,2023-11-19,18:00,Ford Field,DET,CHI,31,26
11,2023-11-19,18:00,Lambeau Field,GB,LAC,23,20
11,2023-11-19,18:00,NRG Stadium,HOU,ARI,21,16
11,2023-11-19,18:00,EverBank Stadium,JAX,TEN,34,14
11,2023-11-19,18:00,Hard Rock Stadium,MIA,LV,20,13
11,2023-11-19,18:00,FedExField,WAS,NYG,19,31
11,2023-11-19,21:05,Levi's® Stadium,SF,TB,27,14
11,2023-11-19,21:25,Highmark Stadium,BUF,NYJ,32,6
11,2023-11-19,21:25,SoFi Stadium,LA,SEA,17,16
11,2023-11-20,01:20,Empower Field at Mile High,DEN,MIN,21,20
11,2023-11-21,01:15,GEHA Field at Arrowhead Stadium,KC,PHI,17,21
12,2023-11-23,17:30,Ford Field,DET,GB,22,29
12,2023-11-23,21:30,AT&T Stadium,DAL,WAS,45,10
12,2023-11-24,01:20,Lumen Field,SEA,SF,13,31
12,2023-11-24,20:00,MetLife Stadium,NYJ,MIA,13,34
12,2023-11-26,18:00,Mercedes-Benz Stadium,ATL,NO,24,15
12,2023-11-26,18:00,Paycor Stadium,CIN,PIT,10,16
12,2023-11-26,18:00,NRG Stadium,HOU,JAX,21,24
12,2023-11-26,18:00,Lucas Oil Stadium,IND,TB,27,20
12,2023-11-26,18:00,MetLife Stadium,NYG,NE,10,7
12,2023-11-26,18:00,Nissan Stadium,TEN,CAR,17,10
12,2023-11-26,21:05,State Farm Stadium,ARI,LA,14,37
12,2023-11-26,21:05,Empower Field at Mile High,DEN,CLE,29,12
12,2023-11-26,21:25,Allegiant Stadium,LV,KC,17,31
12,2023-11-26,21:25,Lincoln Financial Field,PHI,BUF,37,34
12,2023-11-27,01:20,SoFi Stadium,LAC,BAL,10,20
12,2023-11-28,01:15,U.S. Bank Stadium,MIN,CHI,10,12
13,2023-12-01,01:15,AT&T Stadium,DAL,SEA,41,35
13,2023-12-03,18:00,NRG Stadium,HOU,DEN,22,17
13,2023-12-03,18:00,Gillette Stadium,NE,LAC,0,6
13,2023-12-03,18:00,Caesars Superdome,NO,DET,28,33
13,2023-12-03,18:00,MetLife Stadium,NYJ,ATL,8,13
13,2023-12-03,18:00,Acrisure Stadium,PIT,ARI,10,24
13,2023-12-03,18:00,Nissan Stadium,TEN,IND,28,31
13,2023-12-03,18:00,FedExField,WAS,MIA,15,45
13,2023-12-03,21:05,Raymond James Stadium,TB,CAR,21,18
13,2023-12-03,21:25,SoFi Stadium,LA,CLE,36,19
13,2023-12-03,21:25,Lincoln Financial Field,PHI,SF,19,42
13,2023-12-04,01:20,Lambeau Field,GB,KC,27,19
13,2023-12-05,01:15,EverBank Stadium,JAX,CIN,31,34
14,2023-12-08,01:15,Acrisure Stadium,PIT,NE,18,21
14,2023-12-10,18:00,Mercedes-Benz Stadium,ATL,TB,25,29
14,2023-12-10,18:00,M&T Bank Stadium,BAL,LA,37,31
14,2023-12-10,18:00,Soldier Field,CHI,DET,28,13
14,2023-12-10,18:00,Paycor Stadium,CIN,IND,34,14
14,2023-12-10,18:00,Cleveland Browns Stadium,CLE,JAX,31,27
14,2023-12-10,18:00,Caesars Superdome,NO,CAR,28,6
14,2023-12-10,18:00,MetLife Stadium,NYJ,HOU,30,6
14,2023-12-10,21:05,Allegiant Stadium,LV,MIN,0,3
14,2023-12-10,21:05,Levi's® Stadium,SF,SEA,28,16
14,2023-12-10,21:25,GEHA Field at Arrowhead Stadium,KC,BUF,17,20
14,2023-12-10,21:25,SoFi Stadium,LAC,DEN,7,24
14,2023-12-11,01:20,AT&T Stadium,DAL,PHI,33,13
14,2023-12-12,01:15,Hard Rock Stadium,MIA,TEN,27,28
14,2023-12-12,01:15,MetLife Stadium,NYG,GB,24,22
15,2023-12-15,01:15,Allegiant Stadium,LV,LAC,63,21
15,2023-12-16,18:00,Paycor Stadium,CIN,MIN,27,24
15,2023-12-16,21:30,Lucas Oil Stadium,IND,PIT,30,13
15,2023-12-17,01:15,Ford Field,DET,DEN,42,17
15,2023-12-17,18:00,Bank of America Stadium,CAR,ATL,9,7
15,2023-12-17,18:00,Cleveland Browns Stadium,CLE,CHI,20,17
15,2023-12-17,18:00,Gillette Stadium,NE,KC,17,27
15,2023-12-17,18:00,Lambeau Field,GB,TB,20,34
15,2023-12-17,18:00,Hard Rock Stadium,MIA,NYJ,30,0
15,2023-12-17,18:00,Caesars Superdome,NO,NYG,24,6
15,2023-12-17,18:00,Nissan Stadium,TEN,HOU,16,19
15,2023-12-17,21:05,State Farm Stadium,ARI,SF,29,45
15,2023-12-17,21:05,SoFi Stadium,LA,WAS,28,20
